Name,Address,Latitude,Longitude
South Avenue Police Station,"72, South Avenue, Road, Teen Murti Marg Area, New Delhi, Delhi, 110011",28.6138954,77.2090057
Tuglak Road Police Station,"Doctor APJ Abdul Kalam Road, Tughlak Road, Safdarjung Lane Area, New Delhi, Delhi, 110003",28.6138954,77.2090057
Subzi Mandi Police Station,"Kabir Basti Marg, Sabzi Mandi Old, New Delhi, Delhi, 110007",28.6138954,77.2090057
Bara Hindu Rao Police Station,"Naya Mohalla, Nawabganj, Tis Hazari, New Delhi, Delhi, 110006",28.6138954,77.2090057
Sarai Rohilla Police Station,"Naya Mohalla, Nawabganj, Tis Hazari, New Delhi, Delhi, 110006",28.6138954,77.2090057
Civil Lines Police Station,"Khyber Pass, Civil Lines, Delhi, 110054",28.6905852,77.2210801
Kashmiri Gate Police Station,"Hamilton Rd, Chabi Ganj, Kashmere Gate, Delhi, 110006",28.6655672,77.228819
Timarpur Police Station,"201, Chaudhary Fateh Singh Marg, Indra Basti, Block C, Banarsi Das Estate, Timarpur, Delhi, 110054",28.70126285,77.21867953631201
Lahori Gate Police Station,"Shradhanand Marg, Naya Bans, Shardhanand Market, Farash Khana, Lahori Gate, New Delhi, Delhi, 110006",28.6138954,77.2090057
Mourice Nagar Police Station,"Vijay Nagar Marg, Reids Line Delhi Univ Staff Flats, Sarup Nagar, Delhi, 110007",28.6783092,77.1561058
Roop Nagar Police Station,"Bangla Road, near Fire Station, Block 6, Roop Nagar, New Delhi, Delhi, 110007",28.6138954,77.2090057
Gulabi Bagh Police Station,"Chaudhary Nand Lal Marg, Gulabi Bagh, Delhi, 110007",28.6696495,77.1947256
Burari Police Station,"403-404, Sant Nagar Marg, Sant Nagar Extension, West Sant Nagar, Burari, New Delhi, Delhi, 110084",28.6138954,77.2090057
Sadar Bazar Police Station,"Idgah Rd, Narain Market, Sadar Bazaar, New Delhi, Delhi, 110055",28.5771941,77.1111696
Kotwali Police Station,"HC Sen Marg, Kaccha Bagh Area, Chandni Chowk, New Delhi, Delhi, 110006",28.6138954,77.2090057
Wazirabad Police Station,"Wazirabad, New Delhi",28.7114169,77.2289364
Bhajan Pura Police Station,"Bhajanpura, Delhi, 110053",28.7009399,77.2617817
Dayal Pur Police Station,"Metro StationShahdara, Mangal Pandey Marg, Wazirabad Rd, near, Gokalpuri, Delhi, 110032",28.6326616,77.2358292
Gokul Puri Police Station,"Mangal Pandey Marg, Gokalpuri, New Delhi, Delhi, 110094",28.6138954,77.2090057
arsh Vihar Police Station,"Harsh Vihar Extension, Block D, Harsh Vihar, Mandoli, Delhi, 110093",28.7101014,77.3133556
Jafrabad Police Station,"Main Road Jaffrabad, Block C1, Jafrabad, Shahdara, Delhi, 110031",28.6864868,77.2763516
