Address,Latitude,Longitude,Category,Incident
"Vir Nagar Jain Colony, Block C, Rana Pratap Bagh, Ashok Vihar, New Delhi, Delhi 110007, India",28.693568900000002,77.18775386794033,Commenting," i can not explain  
						  More Information »
« Less Information
"
"44, Block B, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110076, India",28.6138954,77.2090057,Commenting," it started with commenting at the bus stop and then i was touched inappropriately on the bus  
						  More Information »
« Less Information
"
"Barrister Nath Pai Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India",19.0750139,72.9075712,Commenting," cheap comments from pann nagar boys  
						  More Information »
« Less Information
"
"The Island, Park Town, Chennai, Tamil Nadu, India",13.0863491,80.2727321,Touching /Groping," A boy groped me when he passed by me  
						  More Information »
« Less Information
"
"Nashik, Maharashtra India",20.0112475,73.7902364,Catcalls/Whistles," once dining with my family there were a group of boys outside the hotel who were hula oohing which was cheap. it was difficult passing through...  
						  More Information »
« Less Information
"
"Basant Lok, Vasant Vihar, New Delhi, Delhi, India",28.5602932,77.1628475,Indecent exposure," the girls were made to feel awkward when they were trying to enjoy themselves at the park.  
						  More Information »
« Less Information
"
"Andhra Pradesh 534315, India",16.83321025,81.53000679271871,Rape / Sexual Assault," We went on a school camp in 10 std and we visited the  market and all of us were in the bus. we realised that a man(stranger) was offering us...  
						  More Information »
« Less Information
"
"Bapu Market, Biseswarji, Jaipur, Rajasthan, India",26.9154576,75.8189817,Ogling/Facial Expressions/Staring," a group of boys started following us.  
						  More Information »
« Less Information
"
"chuloor centre,trissure district, Thriprayar, Kerala, India",10.4140539,76.1062733,Taking pictures," we had gone for NSS camp for 7 days. we used to travel to a school in the morning and everyday came across few bengalis buzy with their mobile....  
						  More Information »
« Less Information
"
"Fern's Mansion, Bandra West, Mumbai, Maharashtra 400050, India",19.0583358,72.8302669,Catcalls/Whistles," loud banter of guys  
						  More Information »
« Less Information
"
"Block A 5C, Possangipur, Janakpuri, New Delhi, Delhi 110058, India",28.6292748,77.0827141,Sexual Invites," a girl who was standing in her balcony faced a horrendous sight when a man sitting in the car showed her his private parts and asked her to...  
						  More Information »
« Less Information
"
"Block BD, Munirka, New Delhi, Delhi 110067, India",28.5568967,77.1750592,Rape / Sexual Assault," Happened in her family when her step father abused her physically for a year.  
						  More Information »
« Less Information
"
"Bengaluru, Karnataka, India",12.9767936,77.590082,Stalking," I have this number +919231688222 and guy calls me at odd hours & sends me lewd messages

I am from Bangalore. yes guy from calcutta and sends...  
						  More Information »
« Less Information
"
"Aruvappulam, Kerala, India",9.16157565,77.10700509965261,Touching /Groping," Wrong touch given by stranger in a crowded street  
						  More Information »
« Less Information
"
"Khar Road Railway Station, Bandra Terminus, Golibar, Khar West, Mumbai, Maharashtra 400051, India",19.0689385,72.8401184,Stalking," A person commented 'Mai Amit, mujhe pehchana kya?'& assaulted the girl.  
						  More Information »
« Less Information
"
"Sector 2C, Sector 2, Gandhinagar, Gujarat, India",23.2021227,72.63687713335744,Chain Snatching / Robbery," I was on my way on my scooty to the supermarket when two boys snatched my chain.  
						  More Information »
« Less Information
"
"Kolomda, Jharkhand 835216, India",23.31045215,85.27487741053811,Touching /Groping," A female friend of mine was touched while returning from tuitions  
						  More Information »
« Less Information
"
"Hazrataganj Crossing Bus Stop, Ashok Marg, Hazratganj, Lucknow, Uttar Pradesh 226001, India",26.8430224,80.9420367,Ogling/Facial Expressions/Staring," It happened with my friend's brother when he was doing graduation. His immediate neighbor tried to sexually abuse him but he escaped as he informed...  
						  More Information »
« Less Information
"
"Rajajipuram, Lucknow, Uttar Pradesh 226017, India",26.84029565,80.85286909425099,Chain Snatching / Robbery," During the afternoon two men came on a bike and snatched my chain and ran away.  
						  More Information »
« Less Information
"
"Shivaji Park, Mumbai, Maharashtra, India",19.02727875,72.83839774905661,Ogling/Facial Expressions/Staring," I was being followed by 2 men on a bike till this location.  
						  More Information »
« Less Information
"
"Nawabganj, Tis Hazari, New Delhi, Delhi 110006, India",28.6138954,77.2090057,Ogling/Facial Expressions/Staring," at the metro station there were some men always sitting who made girls feel uncomfortable and stared them like anything.  
						  More Information »
« Less Information
"
"Azadpura, Lalitpur, Uttar Pradesh 284403, India",24.6935695,78.4178866,Catcalls/Whistles," Adolescent and adult male mostly harass girls, comment.  
						  More Information »
« Less Information
"
"Azadpura, Lalitpur, Uttar Pradesh 284403, India",24.6935695,78.4178866,Catcalls/Whistles," boys were teasing girls before girl's only college compound.  
						  More Information »
« Less Information
"
"Dhoop Chhaon, Bandra West, Mumbai, Maharashtra 400050, India",19.0599103,72.83565690139073,Ogling/Facial Expressions/Staring," the area is surrounded with indecent people who oogle and pass comments  
						  More Information »
« Less Information
"
"Churchgate, Maharshi Karve Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.9359595,72.8274513,Ogling/Facial Expressions/Staring," As I was waiting for the train, a man would not stop staring at me.  
						  More Information »
« Less Information
"
"50, KVP Sapatnekar Marg, Anand Park, Aundh, Pune, Maharashtra 411007, India",18.5575417,73.8066878,Stalking," For a week in the morning when I found be taking my dog for a walk, a milkman on a bike would follow me and times try to talk to me. I felt...  
						  More Information »
« Less Information
"
"Govandi, Govandi Station Over Bridge, Tata Nagar, Govandi East, Mumbai, Maharashtra 400088, India",19.0526286,72.9197627,Catcalls/Whistles," I was going to catch a train on my way home when i saw few men smiling towards me and one of them whistled at me.  
						  More Information »
« Less Information
"
"M4/34, Shastri Nagar, Guru Nanak Nagar Colony, Sigra, Varanasi, Uttar Pradesh 221002, India",25.3112567,82.9852117,Ogling/Facial Expressions/Staring," whistling and commenting on an aquaintance  
						  More Information »
« Less Information
"
"Ulhasnagar, Maharashtra 421002, India",19.19381615,73.19143234839959,Touching /Groping," people at local theater have no manners,i once went out with my frieds to watch a movie when a guy sitting next to me tried touching  my hand.  
						  More Information »
« Less Information
"
"Haider Pur, Shalimar Bagh, New Delhi, Delhi 110088, India",28.7096432,77.1691744,Chain Snatching / Robbery," a lady shopping had her purse in her hand which was taken away by a two men on a bike.  
						  More Information »
« Less Information
"
"Shyam Nagar, Jogeshwari East, Mumbai, Maharashtra, India",19.1429335,72.8552066,Ogling/Facial Expressions/Staring," On the ground, I was looked at in a dirty fashion and also spoken to in a dirty way  
						  More Information »
« Less Information
"
"NO.5, Military Rd, Mora Gaon, Juhu, Mumbai, Maharashtra 400047, India",19.1176837,72.8211969,Ogling/Facial Expressions/Staring," A BOY WAS STARING AT US AND WAS TRYING TO USE HIS PHONE. WHEN ONE OF US WERE DOUBTFUL ,WE WENT TO HIM AND TOOK HIS PHONE.HE WAS CLICKING PICTURES...  
						  More Information »
« Less Information
"
"mumbai, Maharashtra, India",19.0785451,72.878176,Rape / Sexual Assault," I saw a man beating his wife & shouting at her.  
						  More Information »
« Less Information
"
"Eksar, Borivali West, Mumbai, Maharashtra, India",19.23773105,72.84500138038518,Catcalls/Whistles," catcalling and whistling  
						  More Information »
« Less Information
"
"Ladpura, Tilak Nagar, Nayapura, Kota, Rajasthan 324002, India",25.2153717,75.8634825,Touching /Groping," This incident happened to a friend as well as to me. We were walking by the road and few masked men on bikes did this.  
						  More Information »
« Less Information
"
"T Nagar, Chennai, Tamil Nadu 600017, India",13.0294483,80.2309064,Stalking," When i was coming back from shopping, i noticed a guy who was behind me from quite some time and what scared me is he followed me till my house.  
						  More Information »
« Less Information
"
"Tukaram Paduka, Shivajinagar, Pune, Maharashtra 411004, India",18.5245408,73.84144515338761,Stalking," One of his friend were going from Dyaneshwar Paduka chawk with her friend. It was night.  3-4 boys were stalking them. His friends went to model...  
						  More Information »
« Less Information
"
"Indore Junction, Chhoti Gwaltoli, Indore, Madhya Pradesh 452007, India",22.7203616,75.8681996,Touching /Groping," late night(around 11.30)a middle aged guy gave me a lift. During the ride, he pushed himself towards me and tried to hold me by my leg. Thankfully,...  
						  More Information »
« Less Information
"
"Eksar, Borivali West, Mumbai, Maharashtra, India",19.23773105,72.84500138038518,Catcalls/Whistles," A man was whistling at me.  
						  More Information »
« Less Information
"
"Railway Colony, Tis Hazari, New Delhi, Delhi 11054, India",23.7876768,86.4188155,Commenting," near queen mary's school one can see a lot of cheap boys standing because of the school being an all- girls school.one girl going out of the...  
						  More Information »
« Less Information
"
"Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India",19.0630217,72.8443515,Commenting," bad crowd. staring and making indecent body movements  
						  More Information »
« Less Information
"
"Jogeshwari East, Mumbai, Maharashtra 400093, India",19.1429335,72.8552066,Ogling/Facial Expressions/Staring," Someone was whistling at me, also staring at me  
						  More Information »
« Less Information
"
"Mahaveer Bazar Road, Beawar, Rajasthan 305901, India",26.0992137,74.3127044,Poor / No Street Lighting," there were no street lights i was returning home from temple there in the way was a tea stall boys smoking there saw me and started to talk...  
						  More Information »
« Less Information
"
"Ghatkopar, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra 400077, India",19.0834898,72.9120255,Touching /Groping," going in a sharing auto from station to r city mall ghatkopar mumbai boy sitting near me was taking my undue advantage.  
						  More Information »
« Less Information
"
"Juhu, Mumbai, Maharashtra, India",19.1070215,72.8275275,Commenting," it was the tie of when i with four of my friends went to see movie grand masti boys sitting back to me were making some sexual voices and disturing...  
						  More Information »
« Less Information
"
"11, Revenue Colony, Shivajinagar, Pune, Maharashtra 411005, India",18.5295572,73.84914055211472,Commenting," Reports Submitted from safewatch  
						  More Information »
« Less Information
"
"Eksar, Borivali West, Mumbai, Maharashtra, India",19.23773105,72.84500138038518,Ogling/Facial Expressions/Staring," A art and craft group started sending nude pictures of girls and started in line of prostitution.  
						  More Information »
« Less Information
"
"New Marine Lines, Marine Lines, Mumbai, Maharashtra, India",18.933583,72.82844881648472,Catcalls/Whistles," Some white collar men were passing by who groped me by my chest and walked away.  
						  More Information »
« Less Information
"
"Bandra West, Mumbai, Maharashtra, India",19.0583358,72.8302669,Commenting," While she was in a sharing auto in bandra west she was being stared and had to face by other man in the auto.  
						  More Information »
« Less Information
"
"Victoria Terminus, Friends Colony, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",19.067551,72.87880051277673,Touching /Groping," She was eve teased by a boy while watching a film.  
						  More Information »
« Less Information
"
"Vikhroli East, Mumbai, Maharashtra, India",19.1172592,72.9355194,Touching /Groping," While on a tain journey she was touched by a person sitting on the front seat.  
						  More Information »
« Less Information
"
"Shastri Nagar, Andheri West, Mumbai, Maharashtra, India",19.1172495,72.833968,Stalking," A girl was stalked and tried to be molested.  
						  More Information »
« Less Information
"
"Ranwar, Bandra West, Mumbai, Maharashtra, India",19.0537259,72.8275798,Stalking," Her cousin was followed by a stranger while shopping in bandra.  
						  More Information »
« Less Information
"
"Thakkar Estate, Byculla, Mumbai, Maharashtra 400010, India",18.9766219,72.8327936,Touching /Groping," Her swimming teacher tried to assault her.  
						  More Information »
« Less Information
"
"Shobhapur, Pune, Maharashtra, India",18.521428,73.8544541,Taking pictures," Boys took pictures on dapoli beach of girls.  
						  More Information »
« Less Information
"
"Vidyavihar Society, Vidyavihar, Mumbai, Maharashtra, India",19.08009375,72.89629523453397,Touching /Groping," She was touched at private parts by her dance partner.  
						  More Information »
« Less Information
"
"Bandra West, Mumbai, Maharashtra, India",19.0583358,72.8302669,Touching /Groping," Her best friend was molested in the local train.  
						  More Information »
« Less Information
"
"Bhim Nagar, Andheri East, Mumbai, Maharashtra, India",19.1158835,72.854202,Stalking," A man followed her from station to her house.  
						  More Information »
« Less Information
"
"Goa station, India",26.4680914,78.4085547,Catcalls/Whistles," We were travelling to goa for school trip by train.There was a guy standing near the door showing off his private parts.  
						  More Information »
« Less Information
"
"vile parle station bus stop, Maharashtra, India",19.1002241,72.8461146,Ogling/Facial Expressions/Staring," In public transport, inappropriate touching & grouping because of rush.  
						  More Information »
« Less Information
"
"Malad west station, Maharashtra, India",19.1852888,72.835808,Taking pictures," Someone clicked photos of various women at malad station & also molested a small girl after that.  
						  More Information »
« Less Information
"
"Rushi Van, Borivali East, Mumbai, Maharashtra 400066, India",19.2267228,72.8619328,Ogling/Facial Expressions/Staring," Often at evening the nearby men and guys hangout in the shady area.. often cooment and stare  
						  More Information »
« Less Information
"
"Lokmanya Tilak Colony, Dadar, Mumbai, Maharashtra, India",19.0177342,72.8437523,Stalking," A guy was trying to follow me  
						  More Information »
« Less Information
"
"Dongar Tamasi, Maharashtra, India",20.4234838,80.1349318,Catcalls/Whistles," some boys used to tease a girl and this was so disturbing to her that she changed hr route from there.  
						  More Information »
« Less Information
"
